Order Date,Customer Name,State,Category,Sub-Category,Product Name,Sales,Quantity,Profit
03-01-2014,Darren Powers,Texas,Office Supplies,Paper,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",16.45,2,5.55
04-01-2014,Phillina Ober,Illinois,Office Supplies,Labels,Avery 508,11.78,3,4.27
04-01-2014,Phillina Ober,Illinois,Office Supplies,Storage,SAFCO Boltless Steel Shelving,272.74,3,-64.77
04-01-2014,Phillina Ober,Illinois,Office Supplies,Binders,GBC Standard Plastic Binding Systems Combs,3.54,2,-5.49
05-01-2014,Mick Brown,Pennsylvania,Office Supplies,Art,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",19.54,3,4.88
06-01-2014,Lycoris Saunders,California,Office Supplies,Paper,Xerox 225,19.44,3,9.33
06-01-2014,Jack O'Briant,Georgia,Office Supplies,Art,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",12.78,3,5.24
06-01-2014,Maria Etezadi,Kentucky,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,2573.82,9,746.41
06-01-2014,Maria Etezadi,Kentucky,Office Supplies,Binders,Ibico Hi-Tech Manual Binding System,609.98,2,274.49
06-01-2014,Maria Etezadi,Kentucky,Office Supplies,Art,Rogers Handheld Barrel Pencil Sharpener,5.48,2,1.48
06-01-2014,Maria Etezadi,Kentucky,Technology,Phones,GE 30524EE4,391.98,2,113.67
06-01-2014,Maria Etezadi,Kentucky,Technology,Phones,Wireless Extenders zBoost YX545 SOHO Signal Booster,755.96,4,204.11
06-01-2014,Maria Etezadi,Kentucky,Office Supplies,Fasteners,"Alliance Super-Size Bands, Assorted Sizes",31.12,4,0.31
06-01-2014,Maria Etezadi,Kentucky,Office Supplies,Paper,Southworth 25% Cotton Granite Paper & Envelopes,6.54,1,3.01
07-01-2014,Vivek Sundaresam,Texas,Furniture,Furnishings,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",76.73,3,-53.71
07-01-2014,Vivek Sundaresam,Texas,Office Supplies,Binders,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",10.43,7,-18.25
09-01-2014,Melanie Seite,Texas,Office Supplies,Art,Newell 312,9.34,2,1.17
09-01-2014,Melanie Seite,Texas,Technology,Accessories,Memorex Micro Travel Drive 8 GB,31.2,3,9.75
10-01-2014,Anthony Jacobs,Virginia,Office Supplies,Labels,Avery 482,2.89,1,1.36
10-01-2014,Anthony Jacobs,Virginia,Furniture,Furnishings,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",51.94,1,21.3
11-01-2014,Seth Vernon,Delaware,Furniture,Furnishings,"DAX Value U-Channel Document Frames, Easel Back",9.94,2,3.08
13-01-2014,Chris Selesnick,Louisiana,Office Supplies,Envelopes,Staple envelope,11.36,2,5.34
13-01-2014,Chris Selesnick,Louisiana,Office Supplies,Envelopes,Brown Kraft Recycled Envelopes,50.94,3,25.47
13-01-2014,Chris Selesnick,Louisiana,Technology,Accessories,Plantronics S12 Corded Telephone Headset System,646.74,6,258.7
13-01-2014,Chris Selesnick,Louisiana,Office Supplies,Binders,3-ring staple pack,5.64,3,2.71
13-01-2014,Chris Selesnick,Louisiana,Office Supplies,Storage,Fellowes Stor/Drawer Steel Plus Storage Drawers,572.58,6,34.35
13-01-2014,Natalie DeCherney,South Carolina,Furniture,Chairs,Global Highback Leather Tilter in Burgundy,545.94,6,87.35
13-01-2014,Brian Dahlen,California,Office Supplies,Storage,Tennsco 6- and 18-Compartment Lockers,1325.85,5,238.65
13-01-2014,Brian Dahlen,California,Furniture,Bookcases,"O'Sullivan Elevations Bookcase, Cherry Finish",334,3,3.93
13-01-2014,Brian Dahlen,California,Office Supplies,Art,4009 Highlighters by Sanford,19.9,5,6.57
13-01-2014,Michael Moore,Ohio,Office Supplies,Paper,Xerox 1923,37.41,7,13.09
13-01-2014,Michael Moore,Ohio,Office Supplies,Binders,Avery Metallic Poly Binders,3.44,2,-2.52
14-01-2014,Brendan Sweed,Pennsylvania,Furniture,Bookcases,Sauder Cornerstone Collection Library,61.96,4,-53.29
15-01-2014,Erica Hackney,Georgia,Technology,Accessories,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,149.95,5,65.98
